Columna1;title;abstract
77;Behavioral Economics and Public Policy 102: Beyond Nudging;The United States, despite its affluence, faces a number of daunting policy challenges. We rank last among 16 wealthy peers in life expectancy, infant mortality, and obesity, and have taken very little action on climate change, despite the extremity of the threat it poses not only to future generations but even those alive today. 1
78;Analysis of the Relation Between Climate Changes and Security Area;"Abstract Security is often used in most meaningful concepts of contemporary political vocabulary. Furthermore, it concerns interesting aspects of the survival of nations and states in the world. In the first decade of the 21st century, mankind got into a qualitatively new phase of its development, in which it should invariably use the ""uncertainty"" area. There are no doubts about the facts that environmental pollution can cause a variety of ecologically based diseases and this in turn leads to reduction in the average life expectancy. This paper analyzes the relations between climate changes today and their impact on the security area. Problems that have arisen worldwide and in the Republic of Bulgaria because of the climate change are pointed out. The paper discuses directions for improving the security environment in the context of climate changes"
79;The Causal Nexus among Energy Consumption, Environmental Degradation, Financial Development and Health Outcome: Empirical Study for Pakistan;Pakistan is facing an energy crisis and is also severely affected by climate change. Moreover, Pakistan is not doing well as far as health outcome indicators are concerned. The causal nexus among energy, environment, and health outcomes is well-established in literature. Besides, financial development also grabs the attention of health outcome literature as financial development can play a significant role in improving health outcomes. Thus, this study was conducted to test the causal nexus among energy consumption, environmental degradation, financial development, and health outcomes in the case of Pakistan. This study proxies health outcomes with life expectancy and infant mortality. Time series data have been analyzed through different econometric techniques, such as unit root tests, cointegration techniques, causality techniques, and cointegration regressions. Moreover, this study not just discovers the causal direction among variables but also determines the strength of causality through variance decomposition. Results of the study confirm that all variables of the study are cointegrated in the long run. The causality analysis reveals that unidirectional causality is running from energy consumption and environmental degradation to health outcomes, whereas bidirectional causality is found between financial development and health outcomes in the long run. Besides, this study also determines the effect of energy, environmental degradation, and financial development in the health outcome model and finds that energy and financial development can help Pakistan to improve health outcomes. Policy implications are recommended for Pakistan.
80;Implementasi Energi Terbarukan dan Urgensinya Dalam Lingkungan Hidup Society 5.0;The main idea of transforming into society 5.0 is to integrate cyberspace and physical space. This transformation process needs energy in a large scale because it happens with the fast acceleration of digital transformation. The environment of today society is threatened by environmental problem known as climate change and global warming. These threats come from the usage of fossil fuel that powers our society as primary energy sources. Society 5.0 need sustainable environmental that can support high quality of life and long-life expectancy. Low carbon usage is one of the works toward low carbon society 5.0. Energy transformation from fossil to renewable is not as easy as it seems. Renewable energy has its own drawback. High energy cost, Energy efficiency level, energy distribution problem and quality of energy output. The drawback of renewable energy can be analyzed and solved by the integration between cyberspace and physical space in future society 5.0. By modelling real world’s energy problem in cyberspace, the problem can be resolved. Using digital transformation sector to optimize energy. AI to optimize energy usage, Big data as a sources of real world problem model and solution. With society 5.0 resolve renewable energy problem, eventually the society shift toward renewable energy.  Transformasi menuju ke society 5.0 dilakukan dengan cara mengintegrasikan physical space dengan cyberspace. Proses perubahan membutuhkan energi yang besar karena disertai dengan akselerasi transformasi digital yang cepat. Lingkungan hidup masyarakat saat ini terancam dengan perubahan iklim dan pemanasan global. Ancaman tersebut datang dari pemakaian bahan bakar fosil sebagai sumber energi primer. Dalam konsep masyarakat society 5.0 diperlukan lingkungan yang sustainable. Tujuan society 5.0 adalah menciptakan kualitas hidup manusia yang tinggi. Pengurangan emisi karbon merupakan salah satu usaha untuk menuju society 5.0 yang rendah karbon. Perubahan energi dari energi fosil menuju energi terbarukan tidak bisa dilakukan secara langsung. Energi terbarukan memiliki masalah seperti harga energi tinggi, tingkat efisiensi energi, distribusi energi dan kualitas hasil energi. Permasalahan perubahan energi bisa diselesaikan di society 5.0 dengan bantuan dari penyatuan physical space dan cyberspace. Permasalahan energi dunia nyata dimodelkan di cyberspace dan dianalisis sehingga solusinya bisa diterapkan di dunia nyata. Penggunaan AI untuk melakukan optimisasi energi, penggunaan IoT yang efisien energi, Big data sebagai sumber masalah dan solusi untuk masalah masalah yang menghambat perubahan penggunaan energi fosil menuju energi terbarukan.
81;Bangladesh at Fifty: Changes and Challenges in Population and Development;Bangladesh turned 50 in 2021 having made remarkable progress in population and development, such as reducing total fertility and maternal mortality, boosting contraceptive prevalence, reducing infant and child mortality, increasing life expectancy at birth, and enhancing gender parity in schooling, women's empowerment, and overall development. This paper explores the past and determines the drivers of population change and development challenges, the current situation, and future trends and issues up to 2041—the year benchmarked for the country to attain 'developed' status. The study uses censuses, national-level surveys, population projections, and UN and World Bank data. Reducing total fertility, curbing child marriage, addressing adolescent motherhood and their unmet need for family planning, reducing high maternal mortality ratios, the double burden of diseases and malnutrition, addressing population ageing, high youth unemployment, low female labor force participation, and increased climate change vulnerabilities are critical challenges. The demographic dividend needs urgent action. To reach the SDGs by 2030, the country must eliminate unmet contraception needs, preventable maternal deaths, and gender-based violence, and harmful practices, including child marriages.
82;Modeling of Healthcare Monitoring System of Smart Cities;With the rapid development of information and communication technologies, the concept of a smart city has become a reality, and these smart cities are constantly increasing in most countries of the world because of the desire of governments to enhance the lives of their citizens and increase both efficiency and sustainability. The main idea of the concept of smart cities is to integrate the system of services in the cities such as health, energy, education, transportation, and public services, and provide them to citizens everywhere. As health monitoring is one of the most important applications of a smart city, this paper presents the issues of modeling a system for monitoring the health of various population groups of a smart city. The relevance of such systems is caused by the emergence of fundamentally new types of cities, an increase in the number and average life expectancy of the population, and the emergence of new diseases caused by climate change. The peculiarity of the system lies in its complex nature, i.e., it solves the problem of assessing the status of people requiring medical care, calling medical personnel, and monitoring the effectiveness of clinics by the government.
83;Community-Based Research as a Mechanism to Reduce Environmental Health Disparities in American Indian and Alaska Native Communities;Racial and ethnic minority communities, including American Indian and Alaska Natives, have been disproportionately impacted by environmental pollution and contamination. This includes siting and location of point sources of pollution, legacies of contamination of drinking and recreational water, and mining, military and agricultural impacts. As a result, both quantity and quality of culturally important subsistence resources are diminished, contributing to poor nutrition and obesity, and overall reductions in quality of life and life expectancy. Climate change is adding to these impacts on Native American communities, variably causing drought, increased flooding and forced relocation affecting tribal water resources, traditional foods, forests and forest resources, and tribal health. This article will highlight several extramural research projects supported by the United States Environmental Protection Agency (USEPA) Science to Achieve Results (STAR) tribal environmental research grants as a mechanism to address the environmental health inequities and disparities faced by tribal communities. The tribal research portfolio has focused on addressing tribal environmental health risks through community based participatory research. Specifically, the STAR research program was developed under the premise that tribal populations may be at an increased risk for environmentally-induced diseases as a result of unique subsistence and traditional practices of the tribes and Alaska Native villages, community activities, occupations and customs, and/or environmental releases that significantly and disproportionately impact tribal lands. Through a series of case studies, this article will demonstrate how grantees—tribal community leaders and members and academic collaborators—have been addressing these complex environmental concerns by developing capacity, expertise and tools through community-engaged research.
84;Impact of Environmental Factors on the Risk of Cardiovascular Disease in the Population of the Arctic;Arctic territories are one of the priorities in the comprehensive geopolitical and geoeconomic development of the Russian Federation. In this regard, such issues as a new Arctic healthcare model, stabilization of the demographic processes, health protection, and increasing life expectancy of the indigenous and newcomer population are growing in importance. The Arctic is an area of special strategic interest to Russia not only because of the prospects for natural resource development, but also due to the rapid global climate change. The implementation of large-scale competitive projects requires an influx of labour force, leading to a predictable increase in the population of the Arctic settlements. Indigenous peoples living on the Arctic territories of the Russian Federation comprise a special population group, which needs state support due to the vulnerability of its traditional way of life and its original habitat. The state policy of sustainable development is being implemented with regard to them. This article presents a review of the literature analysing the impact of etiopathogenetic mechanisms of unfavourable climatic and geophysical factors on the human cardiovascular system in the Arctic. It has been shown that a significant proportion of the risks of cardiovascular events in the Arctic is linked to environmental pollution (as a result of active human economic activity) and to adverse climatic conditions. Improving the technologies of Arctic healthcare from the standpoint of 4P medicine (aimed to reduce the risk of cardiovascular disease) and understanding the mechanisms of the adverse effects of natural climatic and anthropogenic factors will significantly enhance the quality of medical care and preserve the health of the indigenous and newcomer population of the Russian Arctic.
85;COVID-19 Vulnerability Mapping of Asian Countries;Abstract Objective: The objective of this study is to map vulnerability of Asian countries to the COVID-19 pandemic. Method: According to the Intergovernmental Panel on Climate Change (IPCC) 2007 framework for natural hazards, vulnerability is a function of exposure, sensitivity, and adaptive capacity. From an extensive literature review, we identified 16 socioeconomic, meteorological, environmental, and health factors that influence coronavirus disease 2019 (COVID-19) cases and deaths. The underlying factors of vulnerability were identified using principal component analysis. Results: Our findings indicate that the percentage of the urban population, obesity rate, air connectivity, and the population aged 65 and over, diabetes prevalence, and PM2.5 levels all contributed significantly to COVID-19 sensitivity. Subsequently, governance effectiveness, human development index (HDI), vaccination rate, and life expectancy at birth, and gross domestic product (GDP) all had a positive effect on adaptive capacity. The estimated vulnerability was corroborated by a Pearson correlation of 0.615 between death per million population and vulnerability. Conclusion: This study demonstrates the application of universal indicators for assessing pandemic vulnerability for informed policy interventions such as the COVAX vaccine roll-out priority. Despite data limitations and a lack of spatiotemporal analysis, this study’s methodological framework allows for ample data incorporation and replication.
86;The Impact of Sustainability Goals on Productivity Growth: The Moderating Role of Global Warming;"The objective of this paper was to gain novel insights into the complex relationships among Sustainable Development Goals (SDGs) in shaping productivity (GDP/capita) growth. Using dynamic panel regressions on data collected in 138 countries between 2000 and 2017, we found that rising temperatures negatively affect growth and mitigate the impact of other SDGs on growth. We also found that CO2 emissions have a U-shaped relationship with growth; life expectancy negatively influences growth (positively moderated by rising temperatures), and food security positively impacts growth (negatively moderated by rising temperatures). This study highlights the difficulty of simultaneously implementing SDGs and elucidates novel research perspectives and policies to decrease the negative impacts of climate change on socio-economic and environmental well-being."
87;Aspirations and Strategies for Public Health.;Public health is responsible for extraordinary achievements over the past century, such as remarkable gains in life expectancy and substantial decreases in infectious disease mortality, and could make similar critical contributions to health in this century. Public health should be ascendant, but ample evidence suggests that it is on the defensive today, underappreciated, and underfunded. Government actions to improve the health of populations are widely suspect, as illustrated by the controversies involving efforts to curb soda container sizes in New York City, state and federal efforts to limit reproductive health rights, and global efforts to address climate change. By contrast, traditional medicine continues to be privileged. The burgeoning precision medicine agenda and the continuing emphasis on the treatment for cancer have captured the imagination of funding agencies
88;Exploring the spatiotemporal drivers of malaria elimination in Europe;Europe once had widespread malaria, but today it is free from endemic transmission. Changing land use, agricultural practices, housing quality, urbanization, climate change, and improved healthcare are among the many factors thought to have played a role in the declines of malaria seen, but their effects and relative contributions have rarely been quantified. Spatial datasets on changes in climate, wealth, life expectancy, urbanization, and land use trends over the past century were combined with datasets depicting the reduction in malaria transmission across 31 European countries, and the relationships were explored. Moreover, the conditions in current malaria-eliminating countries were compared with those in Europe at the time of declining transmission and elimination to assess similarities. Indicators relating to socio-economic improvements such as wealth, life expectancy and urbanization were strongly correlated with the decline of malaria in Europe, whereas those describing climatic and land use changes showed weaker relationships. Present-day malaria-elimination countries have now arrived at similar socio-economic indicator levels as European countries at the time malaria elimination was achieved, offering hope for achievement of sustainable elimination.
89;Warm‐night temperature alters paternal allocation strategy in a North temperate‐zone butterfly;Abstract Warming temperatures are greatly impacting wild organisms across the globe. Some of the negative impacts of climate change can be mitigated behaviorally, for example, by changes in habitat and oviposition site choice. Temperatures are reportedly warming faster at night than during the day, yet studies assessing the impacts of increasing night temperature are rare. We used the Finnish Glanville fritillary butterfly (Melitaea cinxia) as study species and exposed adult butterflies of both sexes to warmer night conditions. Under a seminatural outdoor enclosure, we assessed whether females base their oviposition choices primarily on habitat site characteristics (open, suggestive of dry meadows, versus covered by a coarse canopy, suggestive of pastures) or on plant condition (dry vs. lush), and if their choice is altered by the thermal conditions experienced at night. As exposure to warmer environmental conditions is expected to increase resting metabolic rate and potentially reduce life expectancy, we further assessed the fitness implications of warm‐night temperatures. We found that females prefer open sites for oviposition and that females do not switch their oviposition strategy based on the thermal conditions they experienced at night prior to the reproductive event. Exposure to warm nights did not influence female lifespan, but the egg hatching success of their offspring was reduced. In addition, we found that males exposed to warm nights sired larger clutches with higher hatching rate. As warm‐night exposure reduced male lifespan, this may imply a switch in male resource allocation strategy toward increased offspring quality. The present work adds on to the complex implications of climate warming and highlights the importance of the often‐neglected role of males in shaping offspring performance.
90;Standard of Living & Quality of Life Relies on Innovation: Innovation Relies on Engineering Design;Quality of life has advanced since the industrial revolution and this advancement has accelerated with the information revolution. Life expectancy has increased, catalytic converters protect our air, a disabled athlete runs with the fastest runners in the world 1 , and global real GDP per capita has grown by a factor of 2.5 over the past 50 years 2 . This quality of life advancement is the result of continuous innovation. In today’s global economy, innovation is essential for Canada to compete (even to participate) and to continue advancing our quality of life. Collective global innovation has never been more critical. World population growth (7 billion and counting), diminishing non-renewable resources (oil and beyond) and escalating environmental challenges (climate change and pollution) all require global scale innovations or our collective quality of life will not be sustained. Canadians have contributed much to the world including the telephone and smartphone, CANDU ® reactors, snowmobiles, IMAX ® , and the pacemaker. However, over the last number of years, there have been multiple reports critical of Canada’s capacity for technological innovation 3 and studies that offer strategies for improvement. 4 While it is true that innovation is essential to the future of both Canada and the world, innovation is only a means to an end and it is incumbent on us to define the desired ends. Innovation can be a means to a higher quality of life and a more sustainable future for generations to come or it can simply be a means to increase the financial prosperity of the nation. To achieve the ends we value, it is essential to measure innovation in terms of these ends, not in terms of subtle differences in the rate of change in the GDP per capita. Are our innovations leading to cleaner water for all, a healthier and complete diet for all, and meaningful employment for all?
91;Health Benefits of Local Government Sustainability Efforts: A Social Cognitive Perspective;Abstract Since climate change presents an unprecedented threat to public health, creating environmentally sustainable communi ties has become an important policy goal. Many local governments have voluntarily implemented sustainability practices to mitigate and adapt to climate change at community levels. Because of the potential benefits, scholars and practitioners are paying increasing attention to the sustainability practices of local government. This study provides evidence for their health benefits after analyzing data of more than 3000 older adults between 2012 and 2016. Our findings suggest that home weatherization assistance programs are associated with an increased likelihood that older adults will view life expectancy optimistically. Moreover, installing charging stations for electric vehicles is associated with increased physical activities. Our findings have important implications for local governments by linking climate change and community health issues.
92;Russian companies uneven on environmental adaptation;Significance  The global shift towards decarbonisation threatens Russian exports and public revenue, and the more aware mining and other companies are paying greater attention to environmental, social and governance (ESG) issues. A warming climate and increasingly frequent natural disasters raise costs and liabilities for companies and the state, while pollution will undermine public health and life expectancy.       Impacts  Government ministries must submit plans to adapt to climate change by December for inclusion in the 2022-24 budget.   Climate change offers an area for political collaboration with the United States.   Russia will push for recognition of its forest absorption capacity and of nuclear energy as 'green'.   Moscow will promote its plentiful natural gas reserves as the optimum transition-period fuel source.  Several green projects will undergo pilot testing next year, including hydrogen production and an emissions trading scheme in Sakhalin.
93;Democratic institutions and the energy intensity of well-being: a cross-national study;BackgroundEnergy consumption is necessary for human well-being, yet the growth of energy consumption also contributes to climate change and a range of negative externalities. Thus, a key sustainability challenge is to efficiently use energy consumption to promote human well-being. This manuscript contributes to the growing literature on the ecological intensity of well-being (EIWB) by modeling the relationship between democratic institutions and the energy intensity of well-being.MethodsWe use international data to understand how democratic institutions—understood as a combination of elected legislature, elected executives, and democratic competition—impact the energy intensity of well-being. The energy intensity of well-being is an adjusted ratio of energy consumption and life expectancy. We combine random-intercept mixed-effect models with entropy balancing constraints to create covariate balance between democracies and non-democracies.ResultsContrary to our expectations, we find that consistently null results suggesting that democracies do not leverage their energy consumption to improve well-being more effectively than other systems of government. Democracy and its subcomponents do not appear to improve, or reduce, the energy intensity of well-being.ConclusionsDemocracy does not appear to improve sustainability, operationalized as the energy intensity of well-being. On the other hand, democracies do not appear to do worse than non-democracies, suggesting democratization can spread without reducing sustainability.
94;Can You be Biologically Younger than Your Chronological Age? An Overview of Biological Ageing;The ageing of the population is rapidly escalating worldwide irrespective of unpredictable health challenges like climate change, emerging infectious disease, a microbe that develops drug resistance. India is also experiencing rapid socioeconomic progress and urbanization and the result of this demographic transition is population ageing. Even though there is an increase in life expectancy, there is no increase in health span, and thus increased life expectancy leads to ‘expansion of morbidity'. Longer life expectancy with the expansion of morbidity could enforce a challenge to geroscience as well as a substantial health burden and a threat to the national economy.   In normal ageing, chronological age equates to biological age but certain disease conditions accelerate biological age. Similarly, intervention with physical activity, anti-ageing nutraceuticals would slow down the rate ageing process and provide powerful benefits for longevity. The current review article is based on MeSH and free-text terms in databases such as PubMed, the Cochrane Library, and Science Direct.  This article aims to provide an overview of the concept of biological ageing with emphasis on the pathophysiology of ageing, quantification of biological ageing and the anti-ageing strategies.
95;What the patient wants: Addressing patients’ treatment targets in an integrative group psychotherapy programme;OBJECTIVES Limited empirical attention has been devoted to individualized treatment objectives in intensive group therapy for personality dysfunction. This study investigated patients' ratings of distress associated with individual therapy goals - referred to as target object severity - in an intensive Evening Treatment Programme for patients with personality dysfunction.   DESIGN Change in target objective severity was examined in a sample of 81 patients who completed treatment in an intensive, integrative group therapy programme.   METHODS Correlation and regression analyses were used to examine associations between change in target object severity and patients' pre-treatment diagnosis, symptom distress, and treatment outcome expectancy, and between change in target objective severity and patients' ratings of group therapy process (group climate, therapeutic alliance, group cohesion). The relationship between change in target objective severity and longer-range life satisfaction was also examined in a subsample of patients who rated life satisfaction at follow-up.   RESULTS While change in target objective severity was not significantly related to pre-treatment variables, significant associations were found with several aspects of group therapy process. Patients' experience of a highly engaged group climate was uniquely associated with improvement in target object severity. Such improvement was significantly related to longer-term life satisfaction after controlling for general symptom change.   CONCLUSION The working atmosphere in group therapy contributes to patients' progress regarding individual treatment targets, and such progress is an important factor in later satisfaction. Attention to individualized treatment targets deserves further clinical and research attention in the context of integrative group therapy for personality dysfunction.   PRACTITIONER POINTS This study found that patients attending an integrative group treatment programme for personality dysfunction experienced significant improvement in severity of distress related to individual treatment objectives. Improvement in severity of distress related to individual treatment objectives was uniquely associated with patients' experience of an engaged, collaborative working atmosphere. Improvement in individual target objective severity was associated with patients' ratings of overall life satisfaction, rated an average of 9 months following termination, after controlling for change in general symptom severity.
96;Health Concerns in Urban Slums: A Glimpse of Things to Come?;Bangladesh, with a population of 167 million, has recently emerged from being classified as a low-income country to a low-middle-income country and has made some progress in poverty reduction. However, in Bangladesh, mortality among children younger than 5 years is 33 per 1000 live births, life expectancy at birth is 72 years, and the most common causes of premature death are neonatal disorders and stroke.1 The annual per capita income is US $1316, with approximately 15% of the population living in extreme poverty.1 Dhaka, the capital, has a population of more than 20 million and is one of the most densely populated cities in the world. Dhaka is also considered one of the most environmentally contaminated cities in the world, yet for some of the increasing population of rural poor, it is a highly attractive place to live. For those living in rural areas, available land is decreasing because of overpopulation and climate change, and for some, the ground water is contaminated with arsenic. Given the struggles in their lives, people come to Dhaka by the thousands each week. With limited education, skills, and financial resources, most of these migrants end up living in a slum. Is this a glimpse of things to come in resource-limited countries?
97;"Anthropocene, the challenge for ""Homo sapiens"" to set its own limits";The Anthropocene as a distinct geological era has been the subject of active discussion within the scientific community. This era includes the notion that Homo sapiens has had a large impact on global planetary processes. Here, we aim at connecting the notion and nature of the Anthropocene with the social-economic success and the unexpected or unplanned environmental impacts of the anthropogenic activity. Some of the main achievements along the history of humankind have been important developmental steps for many human civilisations but they have also had undesired results that we could not foresee, including the rise of greenhouse gases emissions, the shifts in the area of species distributions or the affection of all major biogeochemical cycles. Increasing human life expectancy and health has promoted an exponential population growth, which together with the increased environmental footprint per capita has pushed many core variables for Earth functioning (e.g. biodiversity, nitrogen cycle, climate change) out of their safety limits. We illustrate examples of many ecosystems that have collapsed around the world because we have crossed the limits of their sustainable exploitation. Paradoxically, it is humanity itself who is pushing the Planet to conditions in which our own survival will unlikely be possible. The reason behind such a strong ecological and functional impact on the Planet within a relatively short space of time is an unsustainable economic system based on the assumption that a perpetual economic growth is not only possible but also desirable. Our awakening should lie on a global framework aimed at changing our relationship with the Planet.
98;Employment in the age group 50+ in the Baltic states and its changes in response to COVID-19;The objective of the study is to examine the patterns of the employment of older people in Latvia, Estonia and Lithuania over the recent decade and the changes brought about by the first wave coronavirus pandemic in spring 2020. The study is based on the Eurostat statistical data as well as the microdata from the recent wave of the Survey of Health, Ageing and Retirement (SHARE). Particular attention is paid to the data collected in SHARE Wave 8 COVID-19 Survey conducted in June-August 2020 in 26 European countries and Israel via computer-assisted telephone interviews. Questions examined how people aged 50 years and older coped with socioeconomic and health-related impact of COVID-19. During the last decade, participation of older age groups in labour market is gradually growing with the increase of the statutory retirement age and life expectancy. Employment rates in the pre-retirement and post-retirement age groups are comparatively high in Latvia and other Baltic States as contrasted to the EU averages, especially among women. Despite of relatively worse health status, people in the Baltic countries also demonstrate the highest share of respondents with willingness to work even upon reaching pension age. In 2020, the COVID-19 had relatively mild impact on it. The branches with traditionally high share of workers aged 50+ (education, healthcare, agriculture, administrative services) were least affected by lockdown measures.
99;A Deeper Union: From a Failed Project to the European Quality Lead;After President Trump’s departure, many expected that the transatlantic partnership would return to its previous state with the US playing a leading role. This article challenges that view. Instead, a new world order is foreseen, with different partnerships and spheres of influence. Europe can decide whether it wants to remain small and homogeneous or a larger but also more heterogenous Union that leads in welfare indicators such as life expectancy, fighting poverty and limiting climate change. Expanding this lead and communicating its uniqueness can empower Europe to combine enlargement and deepening, which appears unlikely without changes in governance and self-confidence.
100;Environmental health in Australia: overlooked and underrated;Abstract Improvements in environmental health have had the most significant impact on health status. In Australia, life expectancy has significantly increased through provision of vaccination, safe food and drinking water, appropriate sewage disposal and other environmental health measures. Yet the profession that is instrumental in delivering environmental health services at the local community level is overlooked. Rarely featuring in mainstream media, the successes of Environmental Health Officers (EHOs) are invisible to the general public. As a consequence, students entering university are unaware of the profession and its significant role in society. This has resulted in there being too few EHOs to meet the current regulatory requirements, much less deal with the emerging environmental health issues arising as a consequence of changing global conditions including climate change. To futureproof Australian society and public health this workforce issue, and the associated oversight of environmental health must be addressed now.
101;Evolution of External Health Costs of Electricity Generation in the Baltic States;Implementation of strict policies for mitigating climate change has a direct impact on public health as far as the external health costs of electricity generation can be reduced, thanks to the reduction of emission of typical pollutants by switching to cleaner low carbon fuels and achieving energy efficiency improvements. Renewables have lower external health costs due to the lower life cycle emission of typical air pollutants linked to electricity generation, such as SO2, NOx, particulate matter, NH3, or NMVOC (Non-methane volatile organic compounds), which all appear to have serious negative effects on human health. Our case study performed in the Baltic States analyzed the dynamics of external health costs in parallel with the dynamics of the main health indicators in these countries: life expectancy at birth, mortality rates, healthy life years, self-perceived health, and illness indicators. We employed the data for external health costs retrieved from the CASES database, as well as the health statistics data compiled from the EUROSTAT database. The time range of the study was 2010–2018 due to the availability of consistent health indicators for the EU Member States. Our results show that the decrease of external health costs had a positive impact on the increase of the self-perceived good health and reduction of long-standing illness as well as the decrease of infant death rate. Our conclusions might be useful for other countries as well as for understanding the additional benefits of climate change mitigation policies and tracking their positive health impacts. The cooperation initiatives on clean energy and climate change mitigation between countries like One Belt One Road initiative by the Chinese government can also yield additional benefits linked to the public health improvements.
102;Genetic Improvement of Oilseed Crops Using Modern Biotechnology;In 2009, big challenges facing the agricultural sector in the twenty-first century were presented to the world. Human population growth, increased life expectancy, loss of biodiversity, climate change and accelerated land degradation are the main factors con- tributing to rethink agriculture system production. In that scenery, modern biotechnology has set a stage for the advancement of agricultural practices and it is clearly an important ally to apply a broad array of technologies and innovative systems where they are most needed, such as enhancing crop productivity, increasing yields, and ultimately ensuring food security. One of the biggest challenges is related to technify production systems, but with no doubt, developing genetic improvement toward getting an efficient and sus - tainable agriculture, generating new seed qualities (new traits), such as, among others, to upset fatty acids content in oilseed crops have been growing up significantly due to industry interest. In this study, a review about the main advances in genetic improvement of some oilseed crops, starting with omics to understand metabolic routes and to find out key genes in seed oil production, and also, getting in use of modern biotechnology to alter the production of fatty acids, and to face biotic challenges in oilseed crops is presented. plants. nodes using Agrobacterium rhizogenes , placed under a 35S-35S promoter (a variant of the cauliflower mosaic virus 35S promoter with higher transcriptional activity) to drive transgenic expression, into pBin438 vector with kanamycin resistance gene (for bacterial selection) and the hygromycin phosphotransferase gene (for plant transformation selection). These authors demonstrated that canola FCA-RRM2 increases plant size, organ size, cell size, plant productivity and oil content. According to the author of that research, these results provide a practical approach for the genetic improvement of this plant.
103;In the March 2021 Issue of the Quarterly.;Since the launch of the Quarterly’s Building Back Better series of policy opinion posts in November 2020, the United States has experienced one of the most tumultuous and traumatic periods in its history. In fact, the entire year of 2020 will be remembered as a “perfect storm” of global pandemic, tragically avoidable death, reduced life expectancy, economic depression, racial injustice, and civil unrest. Fortunately, the violent insurrection at the US Capitol on January 6, 2021, failed, and the inauguration of President Biden occurred two weeks later without incident. Since taking office, the Biden administration has initiated a host of federal policy changes affecting not only health but other areas of policy that relate to health, most notably environmental protection and climate change. Some of these policy shifts reverse Trump-era policies harmful to health, while others aim to improve or strengthen existing programs. Not surprisingly, many have aligned closely with ideas and recommendations contained in the 13 pieces posted thus far in the Building Back Better series. Because the administration continues to face formidable challenges that require timely, practical, evidence-based policy advice, we will continue the series for the foreseeable future and invite readers to visit our website (https://www.milbank.org/quarterly/ building-back-better/). The four Perspectives in this issue of the Quarterly all embrace the spirit of “building back better.” In “Population Health Science: Fulfilling the Mission of Public Health,” Frederick Zimmerman argues that public health has been distracted from its historical mission of ensuring the conditions in which people can be healthy. He attributes this to a heavy reliance on randomized controlled trials, a dearth of formal theoretical models, and a reluctance to engage in politics. However, he believes that the field of population health is bringing needed scientific tools to the aid of public health in fulfilling its core mission. Persistent communication inequities have limited the access of racial and ethnic minorities to life-saving health information, making them more vulnerable to the harmful effects of misinformation. In “The Com-
104;Resilient design of landslip prevention measures: a case study;Bervie Braes is a 750 m long, and up to 55 m high, coastal slope above a residential area and harbour in Stonehaven, Scotland, with a history of instability mostly associated with the road traversing the slope. This paper outlines the most probable causes of the instability on the slope and details the hazards that had to be taken into account during the design and construction of stabilisation measures. The hazards associated with hydrology in terms of future potential change in rainfall patterns and intensity, but also in terms of providing adequate drainage capacity and flows, were juxtaposed against the geotechnical hazards of shallow landslips and erosion near the surface, as well as deep-seated landslides on the slope. Owing to the complex nature of the hazards and the need for longer life expectancy of the design, the soil nailing option was combined with eco-engineering strategies to provide resilience for a changing climate. A risk-based approach considering the number of lives at danger during a...
105;The Impact of Economic Growth in Mortality Modelling for Selected OECD Countries;The health of a population is affected by social, environmental, and economic factors. Pension providers and consultants, insurance companies, government agencies and individuals in the developed world have a vested interest in understanding how the economic growth will impact on the life expectancy of their population. Therefore, changes in death rates may occur due to climate and economic changes. In this study, we extend a previous study into excess deaths as a result of climate change to also provide a comprehensive investigation of the impact of economic changes using annual female and male data for 5 developed OECD countries. We find that there is strong negative relationship between mortality index, and climate and economic proxies. This model shows to provide better fitting and forecasting results both for females and males, and for all countries studied.
106;The health of Arctic populations: Does cold matter?;The objective of the study was to examine whether cold climate is associated with poorer health in diverse Arctic populations. With climate change increasingly affecting the Arctic, the association between climate and population health status is of public health significance. The mean January and July temperatures were determined for 27 Arctic regions based on weather station data for the period 1961–1990 and their association with a variety of health outcomes assessed by correlation and multiple linear regression analyses. Mean January temperature was inversely associated with infant and perinatal mortality rate, age‐standardized mortality rate from respiratory diseases, and age‐specific fertility rate for teens and directly associated with life expectancy at birth in both males and females, independent of a variety of socioeconomic, demographic, and health care factors. Mean July temperature was also associated with infant mortality and mortality from respiratory diseases, and with total fertility rate. For every 10°C increase in mean January temperature, the life expectancy at birth among males increased by about 6 years and infant mortality rate decreased by about 4 deaths/1,000 livebirths. Cold climate is significantly associated with higher mortality and fertility in Arctic populations and should be recognized in public health planning. Am. J. Hum. Biol., 2010. © 2009 Wiley‐Liss, Inc.
